"gender";"carType";"carCategory";"occupation";"age";"carGroup";"carValue";"material";"region";"cityDensity";"claimValue"
"Male";"E";"Medium";"Unemployed";27;"16";39590;"1";"N";137,8151761;858,245366666219
"Male";"D";"Small";"Self-employed";49;"10";18265;"1";"R";275,0923407;783,575970990504
"Female";"A";"Small";"Employed";19;"4";2970;"0";"Q";83,76263662;659,193919804302
"Female";"A";"Small";"Self-employed";21;"14";15885;"0";"L";61,51657295;650,982309348977
"Male";"B";"Medium";"Unemployed";20;"12";8425;"0";"R";236,3993842;1194,96653330533
"Male";"B";"Large";"Housewife";40;"14";5095;"1";"Q";169,7885554;510,190956128461
"Male";"C";"Small";"Employed";37;"11";29755;"1";"L";38,06772;446,861141162557
"Male";"C";"Small";"Housewife";42;"7";20505;"0";"P";23,12027888;537,768039107026
"Male";"E";"Medium";"Self-employed";54;"13";8405;"1";"S";17,11532415;622,072691413254
"Male";"C";"Medium";"Housewife";45;"10";13860;"1";"L";37,45585227;436,524111629182
"Male";"E";"Small";"Self-employed";20;"11";15860;"0";"L";69,70102973;684,097891284116
"Male";"B";"Large";"Employed";25;"7";10365;"1";"R";236,3993842;685,743590782105
"Female";"B";"Small";"Employed";37;"13";13220;"0";"T";18,23804646;547,714586810813
"Female";"A";"Small";"Unemployed";39;"14";9120;"1";"M";156,6298557;688,924297146488
"Female";"A";"Medium";"Employed";21;"4";22475;"0";"P";30,37476431;748,25085901814
"Male";"A";"Large";"Housewife";53;"16";14770;"0";"R";223,3085718;608,625177940129
"Male";"B";"Medium";"Retired";74;"7";14560;"0";"L";58,59040352;692,408997548355
"Female";"A";"Medium";"Self-employed";58;"7";7585;"1";"M";201,6569069;619,14629611807
"Male";"C";"Medium";"Unemployed";49;"9";8165;"0";"L";67,84790756;790,910160913917
"Male";"A";"Medium";"Unemployed";18;"6";7260;"0";"Q";148,5612071;1215,41718187079
"Male";"E";"Large";"Employed";23;"9";9735;"0";"L";63,15287215;610,954475480971
"Male";"D";"Medium";"Housewife";39;"7";29065;"0";"L";49,53391432;466,941497845076
"Male";"A";"Large";"Housewife";71;"10";15265;"0";"R";284,1301175;665,406072511142
"Female";"D";"Small";"Employed";35;"16";27190;"0";"L";63,50810856;444,175531763711
"Female";"A";"Small";"Employed";27;"6";14915;"0";"R";295,7970919;968,091613635495
"Female";"D";"Large";"Retired";61;"6";26880;"1";"Q";185,1345389;718,013317893028
"Male";"A";"Large";"Housewife";47;"13";45725;"0";"Q";160,3435748;561,47546535655
"Male";"D";"Small";"Self-employed";35;"16";29675;"1";"M";141,0368682;659,403895687207
"Male";"D";"Medium";"Employed";60;"10";13380;"0";"Q";201,3918071;601,288435568656
"Female";"B";"Medium";"Retired";71;"10";7900;"1";"M";141,0368682;676,013828794792
"Male";"A";"Large";"Retired";49;"8";1170;"0";"N";26,14074792;1126,13094810056
"Female";"D";"Small";"Housewife";44;"10";9565;"1";"Q";114,1467007;381,217251121628
"Female";"A";"Small";"Housewife";35;"17";10750;"0";"L";66,65715225;526,404112461172
"Female";"C";"Large";"Retired";69;"10";28990;"1";"Q";186,6850127;581,071066851153
"Female";"D";"Medium";"Housewife";32;"7";9325;"1";"P";27,20106876;412,131935401364
"Female";"C";"Medium";"Housewife";21;"7";3590;"1";"Q";168,6499611;447,150071341173
"Male";"B";"Medium";"Employed";45;"14";21935;"1";"R";218,9832303;627,819268295765
"Female";"D";"Medium";"Employed";34;"10";6150;"0";"M";156,6298557;609,182294902691
"Female";"F";"Small";"Employed";26;"20";42740;"1";"Q";212,4247054;604,322433680491
"Female";"B";"Medium";"Employed";42;"3";7625;"0";"N";65,2951547;808,093923045958
"Male";"C";"Medium";"Housewife";67;"16";29505;"1";"P";28,95139071;416,303988174643
"Female";"B";"Large";"Employed";42;"16";18970;"1";"N";109,6318854;554,235419800851
"Male";"A";"Small";"Self-employed";53;"12";7950;"0";"Q";148,3685156;756,587189152684
"Male";"B";"Medium";"Employed";24;"18";17730;"0";"L";57,7002938;583,596240836146
"Male";"A";"Medium";"Unemployed";18;"6";9140;"1";"Q";207,1446249;1146,66199107591
"Male";"A";"Small";"Retired";63;"1";9570;"1";"L";67,84790756;659,156112510539
"Male";"E";"Large";"Retired";66;"15";19020;"0";"L";50,1264516;662,926293993413
"Male";"A";"Medium";"Employed";30;"9";14890;"0";"S";15,8925395;786,252700527368
"Female";"A";"Medium";"Unemployed";32;"5";9605;"0";"P";30,62119248;914,808151094062
"Female";"A";"Medium";"Housewife";34;"7";5940;"0";"R";284,2162652;645,467844194513
"Male";"A";"Small";"Self-employed";50;"9";23475;"1";"S";19,2164848;747,778504802228
"Female";"D";"Large";"Unemployed";56;"14";15870;"1";"Q";222,735365;561,808236464275
"Male";"F";"Small";"Employed";38;"12";3965;"1";"Q";168,6499611;557,686935244555
"Male";"F";"Large";"Self-employed";71;"4";5990;"0";"N";65,2951547;887,125317768484
"Male";"A";"Small";"Employed";54;"12";5010;"1";"M";99,28308074;553,574881758708
"Male";"C";"Medium";"Employed";34;"11";13080;"0";"R";275,2822626;770,304608373173
"Male";"A";"Large";"Retired";64;"7";12815;"1";"N";137,8151761;857,851871793227
"Male";"A";"Large";"Employed";21;"11";28735;"0";"N";59,8409496;758,945554003246
"Male";"A";"Medium";"Self-employed";40;"11";34370;"1";"Q";161,4389472;655,870658232421
"Female";"D";"Medium";"Self-employed";35;"5";8480;"1";"L";58,59040352;582,48427175778
"Female";"B";"Medium";"Employed";60;"1";8885;"0";"S";19,41025076;551,506273573143
"Male";"F";"Small";"Employed";30;"10";5965;"0";"L";55,96459579;600,191180479767
"Female";"D";"Large";"Housewife";57;"13";38400;"0";"O";32,04149695;416,992717692848
"Male";"C";"Medium";"Housewife";35;"14";22725;"1";"N";88,89623143;582,981925761311
"Female";"D";"Medium";"Unemployed";25;"5";18610;"0";"L";100,3048589;808,993411655659
"Male";"C";"Medium";"Unemployed";37;"18";18990;"1";"R";225,1417422;755,884516556635
"Male";"E";"Small";"Employed";31;"15";8140;"0";"U";125,1320458;574,71186595916
"Female";"E";"Medium";"Housewife";49;"16";20020;"0";"R";272,9669948;517,334555103175
"Male";"A";"Medium";"Employed";38;"16";23405;"0";"M";141,0368682;679,468196859717
"Male";"D";"Small";"Self-employed";31;"11";11645;"0";"L";58,91132801;660,529366489928
"Male";"D";"Medium";"Housewife";53;"1";3395;"1";"Q";95,69355223;413,164100375465
"Male";"A";"Medium";"Employed";28;"8";6715;"0";"P";20,86448407;835,003180745216
"Male";"C";"Large";"Housewife";42;"15";44075;"1";"Q";211,8309492;527,513585268283
"Male";"F";"Medium";"Retired";69;"15";46340;"0";"N";65,2951547;901,172638736552
"Female";"D";"Medium";"Unemployed";30;"5";6455;"1";"P";33,26093405;737,035147796224
"Female";"A";"Large";"Retired";61;"11";8855;"1";"Q";99,6400095;525,638637630679
"Female";"B";"Small";"Employed";29;"13";39305;"1";"T";24,81697854;487,206050219692
"Male";"C";"Small";"Employed";34;"8";46305;"0";"L";92,10692821;693,577460578842
"Male";"D";"Large";"Self-employed";31;"17";11270;"1";"R";276,9950185;904,972566885345
"Female";"D";"Large";"Self-employed";60;"13";1895;"1";"Q";166,5549379;495,606909484756
"Male";"A";"Small";"Employed";55;"12";18120;"0";"L";84,22903844;580,946816416021
"Female";"B";"Large";"Housewife";48;"17";5090;"1";"T";32,4149606;453,535875339533
"Female";"F";"Large";"Self-employed";72;"12";9360;"1";"L";55,29380019;429,609835819539
"Male";"E";"Large";"Housewife";56;"4";19350;"0";"N";103,2132915;707,852626245124
"Male";"A";"Medium";"Self-employed";43;"13";28270;"0";"L";65,3447011;728,166920470737
"Female";"D";"Small";"Self-employed";19;"12";5970;"1";"T";35,78808354;594,445500239006
