"gender";"carType";"carCategory";"occupation";"age";"carGroup";"carValue";"material";"region";"cityDensity";"claimValue"
"Male";"C";"Small";"Unemployed";58;"3";22660;"0";"M";201,65691;426,9963
"Female";"A";"Large";"Unemployed";22;"19";16335;"0";"S";34,81096;174,999
"Male";"A";"Small";"Self-employed";31;"18";14915;"1";"Q";148,56121;8,02538
"Male";"A";"Medium";"Employed";20;"13";8865;"0";"U";137,88733;1138,259
"Male";"B";"Medium";"Housewife";48;"8";28555;"0";"S";23,58653;1999,234
"Male";"A";"Large";"Employed";27;"15";3900;"0";"R";234,67527;2749,006
"Male";"E";"Large";"Employed";76;"6";9085;"0";"T";20,33509;874,6891
"Male";"C";"Medium";"Employed";23;"11";21350;"0";"L";67,42479;274,1031
"Male";"D";"Large";"Employed";31;"11";25920;"1";"R";276,33557;62,64377
"Female";"C";"Large";"Self-employed";38;"13";21450;"1";"S";31,81626;1018,606
"Male";"A";"Small";"Employed";40;"17";26085;"1";"T";35,78808;267,5197
"Male";"A";"Small";"Housewife";33;"13";15865;"1";"Q";222,21513;24,3505
"Male";"B";"Medium";"Employed";18;"14";25630;"0";"N";93,11049;807,157
"Male";"E";"Small";"Housewife";43;"15";4100;"1";"R";259,00406;547,4135
"Female";"D";"Small";"Housewife";46;"10";2390;"1";"Q";222,21513;3212,1
"Female";"B";"Medium";"Housewife";32;"12";41545;"0";"R";250,84133;524,5425
"Female";"C";"Small";"Housewife";51;"8";13375;"0";"L";58,91133;945,1741
"Female";"D";"Large";"Employed";45;"7";9310;"0";"R";253,61989;1255,182
"Female";"A";"Medium";"Unemployed";37;"8";20445;"1";"R";290,13272;564,8298
"Male";"D";"Medium";"Employed";32;"12";15090;"0";"N";137,81518;634,3022
"Male";"A";"Large";"Housewife";53;"8";14305;"0";"R";251,43285;19,91068
"Male";"A";"Medium";"Self-employed";39;"17";45600;"1";"O";32,39052;7444,483
"Male";"B";"Medium";"Housewife";19;"7";37320;"1";"R";232,90298;78,86105
"Male";"C";"Medium";"Self-employed";36;"15";8660;"1";"Q";129,66901;93,2458
"Female";"B";"Small";"Employed";35;"17";4495;"0";"L";84,0677;1913,969
"Male";"D";"Small";"Housewife";32;"14";16515;"1";"P";24,01754;729,9303
"Male";"D";"Medium";"Employed";26;"2";5570;"0";"R";250,84133;1086,223
"Female";"C";"Large";"Employed";29;"14";2145;"0";"Q";208,66672;631,5623
"Male";"D";"Medium";"Employed";47;"16";147980;"0";"L";68,95196;164,494
"Male";"E";"Small";"Housewife";45;"14";1450;"0";"R";284,99912;188,3146
"Female";"A";"Small";"Housewife";34;"12";12445;"0";"Q";167,93666;0,7832557
"Female";"C";"Medium";"Employed";35;"12";10100;"1";"T";31,09742;872,5442
"Female";"B";"Medium";"Self-employed";22;"13";11995;"0";"L";60,073;1525,204
"Male";"A";"Large";"Housewife";70;"17";21450;"0";"R";223,34756;1337,69
"Female";"F";"Medium";"Unemployed";38;"10";9000;"1";"U";94,65752;643,9361
"Female";"C";"Small";"Housewife";19;"18";29400;"1";"M";216,4916;6647,388
"Male";"C";"Small";"Employed";22;"6";1970;"0";"U";59,40379;321,9401
"Female";"F";"Medium";"Employed";18;"14";6125;"1";"N";77,49505;33412,47
"Male";"A";"Medium";"Unemployed";29;"8";28275;"1";"M";216,4916;364,8338
"Female";"D";"Large";"Unemployed";27;"13";38025;"0";"Q";222,73537;2145,571
"Male";"A";"Small";"Unemployed";19;"13";16520;"0";"N";100,83378;629,6585
"Male";"E";"Large";"Employed";39;"7";21960;"0";"R";270,46323;518,0249
"Male";"C";"Small";"Employed";22;"11";8040;"0";"M";129,41948;1479,175
"Female";"D";"Small";"Housewife";27;"16";8785;"1";"P";47,59307;54,29431
"Male";"C";"Medium";"Housewife";73;"18";19100;"1";"L";66,69447;3848,504
"Male";"D";"Small";"Employed";28;"18";43400;"0";"Q";144,9989;668,4607
"Male";"C";"Small";"Employed";20;"18";16325;"1";"L";53,43201;60,34366
"Male";"E";"Medium";"Unemployed";32;"12";19630;"0";"R";276,99502;62,2905
"Male";"D";"Large";"Employed";38;"7";14550;"0";"Q";239,45517;3527,259
"Male";"A";"Large";"Self-employed";60;"11";4500;"1";"O";30,90727;528,4372
"Male";"C";"Medium";"Self-employed";31;"15";48435;"0";"Q";174,64452;1925,125
"Female";"B";"Large";"Unemployed";18;"17";28685;"0";"Q";129,85524;3591,924
"Male";"B";"Large";"Housewife";29;"20";26420;"1";"N";94,29604;1583,536
"Male";"D";"Large";"Employed";41;"13";5545;"1";"Q";168,64996;30,98653
"Female";"B";"Medium";"Employed";36;"9";16580;"0";"R";275,28226;756,4206
"Male";"E";"Small";"Employed";60;"9";18770;"0";"M";190,05156;1697,624
"Male";"B";"Large";"Employed";29;"11";25870;"0";"O";32,0415;765,2335
"Female";"A";"Medium";"Retired";48;"9";20005;"0";"U";137,88733;4597,906
"Female";"E";"Small";"Unemployed";33;"8";18995;"1";"L";61,51657;411,4867
"Male";"C";"Medium";"Employed";28;"15";43985;"0";"Q";174,64452;101,5756
"Male";"E";"Medium";"Self-employed";18;"20";4725;"0";"Q";99,64001;204,4524
"Male";"A";"Medium";"Housewife";42;"7";2185;"1";"L";100,30486;60,66964
"Male";"F";"Small";"Unemployed";20;"11";8620;"0";"S";32,30651;151,8326
"Male";"A";"Medium";"Unemployed";32;"2";6240;"1";"O";25,14133;201,2084
"Male";"E";"Small";"Self-employed";30;"19";38960;"1";"S";36,54775;9,814215
"Female";"A";"Large";"Unemployed";77;"5";1015;"0";"T";29,82213;9029,849
"Male";"A";"Small";"Housewife";65;"2";22815;"0";"Q";166,55494;672,5012
"Female";"A";"Medium";"Self-employed";39;"11";27785;"0";"L";69,7282;1722,338
"Male";"A";"Large";"Self-employed";56;"15";11650;"1";"N";47,9827;3870,649
"Female";"D";"Small";"Self-employed";33;"17";20995;"0";"Q";239,45517;495,3149
"Female";"A";"Small";"Employed";28;"14";22065;"1";"Q";122,44969;121,632
"Male";"A";"Small";"Housewife";20;"9";7360;"0";"Q";83,76264;3,356067
"Male";"F";"Medium";"Housewife";33;"9";8895;"0";"R";284,13012;217,4021
"Female";"C";"Small";"Employed";40;"12";8485;"1";"P";34,88186;420,8041
